record_id,timestamp,task,image_id,annotated_path,elapsed_ms,record_json
acd11a92,2026-06-21T15:06:53,detection,stream_1782029210157_75,stream,2.39,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
5c9750c5,2026-06-21T15:06:53,detection,stream_1782029210157_75,stream,2.39,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
5b110a50,2026-06-21T15:06:53,detection,stream_1782029210157_75,stream,2.39,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
46290fb3,2026-06-21T15:06:53,detection,stream_1782029210157_75,stream,2.39,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
3f8941b4,2026-06-21T15:06:54,detection,stream_1782029210157_90,stream,2.36,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.446, ""bbox"": [358, 157, 593, 323], ""engine"": ""fallback_contour_detector""}"
c194a7ed,2026-06-21T15:06:54,detection,stream_1782029210157_90,stream,2.36,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
b9d111d0,2026-06-21T15:06:54,detection,stream_1782029210157_90,stream,2.36,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
c8b47582,2026-06-21T15:06:54,detection,stream_1782029210157_90,stream,2.36,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.355, ""bbox"": [307, 381, 374, 415], ""engine"": ""fallback_contour_detector""}"
b9d77d83,2026-06-21T15:06:54,detection,stream_1782029210157_90,stream,2.36,"{""task"": ""detection"", ""class_name"": ""object_demo"", ""confidence"": 0.355, ""bbox"": [377, 25, 443, 55], ""engine"": ""fallback_contour_detector""}"
b1315877,2026-06-21T15:06:55,detection,stream_1782029210157_105,stream,2.76,"{""task"": ""detection"", ""class_name"": ""person"", ""confidence"": 0.409, ""bbox"": [182, 157, 308, 303], ""engine"": ""fallback_contour_detector""}"
86965ba1,2026-06-21T15:06:55,detection,stream_1782029210157_105,stream,2.76,"{""task"": ""detection"", ""class_name"": ""bottle"", ""confidence"": 0.39, ""bbox"": [358, 198, 483, 323], ""engine"": ""fallback_contour_detector""}"
19062033,2026-06-21T15:06:55,detection,stream_1782029210157_105,stream,2.76,"{""task"": ""detection"", ""class_name"": ""cell phone"", ""confidence"": 0.358, ""bbox"": [258, 25, 364, 55], ""engine"": ""fallback_contour_detector""}"
2b5b768c,2026-06-21T15:06:55,detection,stream_1782029210157_105,stream,2.76,"{""task"": ""detection"", ""class_name"": ""laptop"", ""confidence"": 0.356, ""bbox"": [208, 381, 290, 415], ""engine"": ""fallback_contour_detector""}"
